director,genre,level,rating,runtime,studio,time,title,url,writer
Dean DeBlois,Action & AdventureAnimationKids & Family,PG (for adventure action and some mild rude humor),91%,110 minutes,Universal Pictures,"Feb 22, 2019",How to Train Your Dragon: The Hidden World,https://www.rottentomatoes.com/m/how_to_train_your_dragon_the_hidden_world,Dean DeBlois
D.W. Griffith,ClassicsDrama,G,98%,192 minutes,Gravitas,"Mar 3, 1915",The Birth of a Nation,https://www.rottentomatoes.com/m/birth_of_a_nation,Frank WoodsD.W. GriffithFrank E. WoodsThomas F. Dixen
Stephen Portland,DramaHorrorMystery & Suspense,NR,40%,86 minutes,,"Mar 1, 2019",Something,https://www.rottentomatoes.com/m/something,Stephen PortlandStephen Portland
Mamoru Hosoda,AnimationAnime & MangaArt House & InternationalKids & Family,PG (for thematic elements including some scary images),92%,98 minutes,GKIDS,"Nov 29, 2018",Mirai,https://www.rottentomatoes.com/m/mirai,Mamoru Hosoda
Charles Martin Smith,Drama,"PG (for thematic elements, some peril and language)",62%,97 minutes,Columbia Pictures,"Jan 11, 2019",A Dog's Way Home,https://www.rottentomatoes.com/m/a_dogs_way_home,W. Bruce CameronCathryn Michon
Etan Cohen,Action & AdventureComedyMystery & Suspense,"PG-13 (for crude sexual material, some violence, language and drug references)",11%,89 minutes,Columbia Pictures,"Dec 25, 2018",Holmes and Watson,https://www.rottentomatoes.com/m/holmes_and_watson_2018,Etan Cohen
Robert Zemeckis,Drama,"PG-13 (for sequences of fantasy violence, some disturbing images, brief suggestive content, thematic material and language)",33%,116 minutes,Universal Pictures,"Dec 21, 2018",Welcome to Marwen,https://www.rottentomatoes.com/m/welcome_to_marwen,Robert ZemeckisCaroline Thompson
Mimi Leder,Drama,PG-13 (for some language and suggestive content),73%,120 minutes,Focus Features,"Jan 11, 2019",On the Basis of Sex,https://www.rottentomatoes.com/m/on_the_basis_of_sex,Daniel Stiepleman
Nia DaCosta,Drama,R (for language and some drug material),100%,103 minutes,NEON,"Apr 19, 2019",Little Woods,https://www.rottentomatoes.com/m/little_woods,Nia DaCosta
David Robert Mitchell,ComedyDramaMystery & Suspense,"R (for strong sexual content, graphic nudity, violence, language throughout and some drug use)",51%,139 minutes,A24,"Apr 19, 2019",Under the Silver Lake,https://www.rottentomatoes.com/m/under_the_silver_lake,David Robert Mitchell
Alastair FothergillJeff Wyatt Wilson,Documentary,G,100%,76 minutes,Disneynature,"Apr 17, 2019",Disneynature: Penguins,https://www.rottentomatoes.com/m/disneynature_penguins,
Roxann Dawson,Drama,PG (for thematic content including peril),60%,90 minutes,20th Century Fox,"Apr 17, 2019",Breakthrough,https://www.rottentomatoes.com/m/breakthrough_2019,Grant Nieporte
Michael Chaves,Horror,R (for violence and terror),42%,93 minutes,New Line Cinema,"Apr 19, 2019",The Curse of La Llorona,https://www.rottentomatoes.com/m/the_curse_of_la_llorona_2019,Mikki DaughtryTobias Iaconis
Josh AppelbaumAndré NemecRobert Gordon,AnimationComedyKids & Family,PG (for some mild thematic elements and action),33%,86 minutes,Paramount Animation,"Mar 15, 2019",Wonder Park,https://www.rottentomatoes.com/m/wonder_park,
Chuck KonzelmanCary Solomon,Drama,R (for some disturbing/bloody images),48%,110 minutes,Pure Flix,"Mar 29, 2019",Unplanned,https://www.rottentomatoes.com/m/unplanned,Cary SolomonChuck Konzelman
Justin Baldoni,DramaRomance,"PG-13 (for thematic elements, language and suggestive material)",55%,120 minutes,CBS Films,"Mar 15, 2019",Five Feet Apart,https://www.rottentomatoes.com/m/five_feet_apart,Mikki DaughtryTobias Iaconis
Robin Bissell,Drama,"PG-13 (for thematic material, racial epithets, some violence and a suggestive reference)",51%,132 minutes,STXfilms,"Apr 5, 2019",The Best of Enemies,https://www.rottentomatoes.com/m/the_best_of_enemies_2019,Robin Bissell
Tim Burton,AnimationKids & FamilyScience Fiction & Fantasy,"PG (for peril/action, some thematic elements, and brief mild language)",47%,112 minutes,Walt Disney Pictures,"Mar 29, 2019",Dumbo,https://www.rottentomatoes.com/m/dumbo_2019,Ehren Kruger
Kevin KölschDennis Widmyer,Horror,"R (for horror violence, bloody images, and some language)",58%,101 minutes,Paramount Pictures,"Apr 5, 2019",Pet Sematary,https://www.rottentomatoes.com/m/pet_sematary_2019,Jeff BuhlerMatt Greenberg
Terry Gilliam,Action & AdventureComedyDrama,NR,61%,132 minutes,Fathom Events,"Apr 10, 2019",The Man Who Killed Don Quixote,https://www.rottentomatoes.com/m/the_man_who_killed_don_quixote,Terry GilliamTony Grisoni
Tina Gordon Chism,Comedy,PG-13 (for some suggestive content),52%,,,"Apr 12, 2019",Little,https://www.rottentomatoes.com/m/little_2019,Tracy OliverTina Gordon Chism
Jenny Gage,DramaRomance,PG-13 (for sexual content and some college partying),,106 minutes,Aviron Pictures,"Apr 12, 2019",After,https://www.rottentomatoes.com/m/after_2019,Susan McMartinTamara ChestnaJenny GageTom Betterton
Chris Butler,Action & AdventureAnimationComedy,PG (for action/peril and some mild rude humor),88%,95 minutes,Annapurna Pictures,"Apr 12, 2019",Missing Link,https://www.rottentomatoes.com/m/missing_link_2019,Chris Butler
Todd Douglas Miller,Documentary,G,99%,93 minutes,NEON,"May 14, 2019",Apollo 11,https://www.rottentomatoes.com/m/apollo_11_2019,
Peter Jackson,Art House & InternationalDocumentary,R (for disturbing war images),100%,99 minutes,Warner Bros. Pictures,"Feb 1, 2019",They Shall Not Grow Old,https://www.rottentomatoes.com/m/they_shall_not_grow_old,
Barry Jenkins (III) ,DramaRomance,R (for language and some sexual content),95%,117 minutes,Annapurna Pictures,"Jan 11, 2019",If Beale Street Could Talk,https://www.rottentomatoes.com/m/if_beale_street_could_talk,Barry Jenkins (III) 
Jordan Peele,HorrorMystery & Suspense,"R (for violence/terror, and language)",94%,120 minutes,Universal Pictures,"Mar 22, 2019",Us,https://www.rottentomatoes.com/m/us_2019,Jordan Peele
Neil Marshall,Action & AdventureScience Fiction & Fantasy,"R (for strong bloody violence and gore throughout, and language)",13%,120 minutes,Summit Entertainment,"Apr 12, 2019",Hellboy,https://www.rottentomatoes.com/m/hellboy_2019,Christopher GoldenAndrew CosbyMike Mignola
Steve McQueen (III),Drama,"R (for violence, language throughout, and some sexual content/nudity)",91%,128 minutes,20th Century Fox,"Nov 16, 2018",Widows,https://www.rottentomatoes.com/m/widows_2018,Steve McQueen (III)Gillian Flynn
Claire Denis,Action & AdventureArt House & InternationalScience Fiction & Fantasy,"R (for disturbing sexual and violent content including sexual assault, graphic nudity, and for language)",87%,110 minutes,A24,"Apr 5, 2019",High Life,https://www.rottentomatoes.com/m/high_life_2019,Claire DenisJean-Pol FargeauGeoff Cox
David F. Sandberg,Action & AdventureScience Fiction & Fantasy,"PG-13 (for intense sequences of action, language, and suggestive material)",91%,130 minutes,New Line Cinema,"Apr 5, 2019",Shazam!,https://www.rottentomatoes.com/m/shazam,Henry Gayden
Robert Wiene,Art House & InternationalClassicsCult MoviesHorrorMystery & Suspense,NR,100%,52 minutes,Rialto Pictures,"Feb 26, 1920",The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari),https://www.rottentomatoes.com/m/the_cabinet_of_dr_caligari,David Lee Fisher & Hans JanowitzCarl Mayer
F.W. Murnau,Art House & InternationalClassicsHorrorScience Fiction & Fantasy,NR,97%,63 minutes,Film Arts Guild,"Mar 4, 1922","Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire)",https://www.rottentomatoes.com/m/nosferatu,Henrik Galeen
Charles Chaplin,ClassicsComedy,G,100%,85 minutes,Janus Films,"Jun 26, 1925",The Gold Rush,https://www.rottentomatoes.com/m/the_gold_rush,Charles Chaplin
William Wellman,Action & AdventureClassics,PG-13,93%,144 minutes,Unknown,"Aug 12, 1927",Wings,https://www.rottentomatoes.com/m/wings,Hope LoringLouis D. Lighton
Carl Theodor Dreyer,Art House & InternationalClassicsDrama,NR,98%,114 minutes,Criterion Collection,"Apr 21, 1928",The Passion of Joan of Arc (La Passion de Jeanne d'Arc),https://www.rottentomatoes.com/m/passion_of_joan_of_arc,Carl Theodor Dreyer
Tod Browning,ClassicsDramaHorrorMystery & Suspense,NR,94%,64 minutes,MGM,"Feb 20, 1932",Freaks,https://www.rottentomatoes.com/m/freaks,Willis GoldbeckLeon GordonEdgar Allan WoolfAl Boasberg
Leo McCarey,ClassicsComedy,NR (adult situations),94%,69 minutes,Paramount Pictures,"Nov 17, 1933",Duck Soup,https://www.rottentomatoes.com/m/duck_soup,Bert KalmarHarry Ruby
Frank Capra,ClassicsComedyRomance,NR,98%,105 minutes,Sony Pictures Home Entertainment,"Feb 22, 1934",It Happened One Night,https://www.rottentomatoes.com/m/it_happened_one_night,Robert Riskin
James Whale,ClassicsHorrorScience Fiction & FantasySpecial Interest,NR,100%,75 minutes,NCM,"Apr 22, 1935",The Bride of Frankenstein,https://www.rottentomatoes.com/m/bride_of_frankenstein,John L. BalderstonWilliam Hurlbut
Charles Chaplin,ClassicsComedy,G,100%,87 minutes,United Artists,"Feb 25, 1936",Modern Times,https://www.rottentomatoes.com/m/modern_times,Charles Chaplin
Howard Hawks,ClassicsComedyRomance,NR,95%,102 minutes,Turner Home Entertainment,"Feb 18, 1938",Bringing Up Baby,https://www.rottentomatoes.com/m/bringing_up_baby,Dudley NicholsHagar Wilde
Lon Chaney JrRupert JulianEdward Sedgwick,ClassicsDramaHorror,NR,91%,79 minutes,Universal Pictures,"Nov 15, 1925",Phantom Of The Opera,https://www.rottentomatoes.com/m/1016240_phantom_of_the_opera,Elliott J. ClawsonRaymond L. SchrockTom ReedFrank M. McCormack
Jean Renoir,Art House & InternationalComedyDrama,NR,98%,110 minutes,Kino International,"Apr 8, 1950",The Rules of the Game (La règle du jeu),https://www.rottentomatoes.com/m/the_rules_of_the_game,Carl KochJean RenoirCamille FrançoisAndré Zwoboda
Victor FlemingGeorge CukorSam Wood,ClassicsDramaRomance,G,92%,222 minutes,Loew's Inc.,"Dec 15, 1939",Gone With the Wind,https://www.rottentomatoes.com/m/gone_with_the_wind,Sidney Howard
Buster KeatonClyde Bruckman,ComedyDramaRomance,NR,94%,79 minutes,United Artists Films,"Feb 5, 1927",The General,https://www.rottentomatoes.com/m/1008166_general,Buster KeatonClyde BruckmanAl BoasbergCharles H. Smith
Lewis Milestone,ClassicsDrama,PG,100%,134 minutes,Universal Pictures,"Aug 24, 1930",All Quiet on the Western Front,https://www.rottentomatoes.com/m/1000642_all_quiet_on_the_western_front,Lewis MilestoneMaxwell AndersonDel AndrewsGeorge Abbott
Tod Browning,ClassicsHorror,NR,91%,75 minutes,Universal Pictures,"Jan 1, 1931",Dracula,https://www.rottentomatoes.com/m/1006234_dracula,Garrett Elsden Fort
Jean Renoir,Art House & InternationalClassicsDrama,NR,97%,113 minutes,Rialto Pictures,"Sep 12, 1938",La Grande illusion (Grand Illusion),https://www.rottentomatoes.com/m/la_grande_illusion,Jean RenoirCharles Spaak
Charles Chaplin,ClassicsComedyDramaRomance,G,98%,90 minutes,United Artists,"Mar 7, 1931",City Lights,https://www.rottentomatoes.com/m/city_lights,Charles ChaplinAlbert AustinHenry BergmanHarry Crocker
Ernest B. SchoedsackMerian C. Cooper,Action & AdventureClassicsHorror,G,98%,103 minutes,RKO Pictures,"Jan 1, 1933",King Kong,https://www.rottentomatoes.com/m/1011615_king_kong,James Ashmore CreelmanRuth RoseJames Creelman
Alfred Hitchcock,Action & AdventureClassicsMystery & Suspense,NR,96%,87 minutes,Gaumont British Distributors,"Aug 1, 1935",The 39 Steps,https://www.rottentomatoes.com/m/1000121_39_steps,Alma RevilleCharles BennettIan Hay
David HandWilliam CottrellDavid D. HandWilfred JacksonLarry MoreyPerce PearceBen SharpsteenDick RichardWebb SmithDorothy Ann BlankMerrill de MarisWalt DisneyRichard Creedon,AnimationClassicsKids & FamilyScience Fiction & Fantasy,G,98%,83 minutes,Walt Disney Pictures,"Dec 21, 1937",Snow White and the Seven Dwarfs,https://www.rottentomatoes.com/m/1048445_snow_white_and_the_seven_dwarfs,Dorothy Anne BlankDick RichardsTed SearsDick RickardEarl HurdWebb SmithDick RichardDorothy Ann BlankMerrill de MarisRichard CreedonOtto Englander
F.W. Murnau,ClassicsDramaMystery & SuspenseRomance,NR,98%,110 minutes,Fox Films,"Sep 23, 1927",Sunrise: A Song of Two Humans,https://www.rottentomatoes.com/m/sunrise,Carl Mayer
Sergei M. Eisenstein,Art House & InternationalClassicsDrama,NR,100%,65 minutes,Kino International,"Dec 24, 1925",Battleship Potemkin,https://www.rottentomatoes.com/m/battleship_potemkin,Sergei M. EisensteinNina AgadzhanovaNina Agadzhanova-Shutko
Alfred Hitchcock,ClassicsMystery & Suspense,PG,98%,99 minutes,Gaumont British Picture Corporation,"Nov 1, 1938",The Lady Vanishes,https://www.rottentomatoes.com/m/1011813_lady_vanishes,Alma RevilleSidney GilliatFrank Launder
Michael CurtizWilliam Keighley,Action & AdventureClassicsRomance,PG,100%,102 minutes,Warner Bros.,"May 14, 1938",The Adventures of Robin Hood,https://www.rottentomatoes.com/m/1000355_adventures_of_robin_hood,Norman Reilly RaineSeton I. Miller
James Whale,ClassicsHorrorScience Fiction & FantasySpecial Interest,NR,100%,70 minutes,Universal Pictures Company,"Nov 21, 1931",Frankenstein,https://www.rottentomatoes.com/m/1007818_frankenstein,Francis Edward FaragohGarrett FortJohn L. BalderstonFrancis Edwards FaragohRobert FloreyGarrett Elsden Fort
Fritz Lang,Art House & InternationalDramaMystery & Suspense,NR,100%,105 minutes,Foremco,"Aug 31, 1931",M,https://www.rottentomatoes.com/m/1012928_m,Fritz LangThea von Harbou
Fritz Lang,Action & AdventureArt House & InternationalClassicsDramaScience Fiction & Fantasy,PG-13,99%,115 minutes,Paramount Pictures,"Mar 13, 1927",Metropolis,https://www.rottentomatoes.com/m/1013775_metropolis,Fritz LangThea von Harbou
James AlgarSamuel ArmstrongFord BeebeWalt DisneyNorman FergusonJim HandleyWilfred JacksonHamilton LuskeBill RobertsPaul SatterfieldSylvia Moberly-HollandT. HeeGraham HeidNorman WrightAlbert HeathBen SharpsteenBianca Majolie,AnimationClassicsKids & FamilyMusical & Performing ArtsScience Fiction & Fantasy,G,96%,116 minutes,Walt Disney Productions,"Nov 13, 1940",Fantasia,https://www.rottentomatoes.com/m/fantasia,Dick HuemerWebb SmithBianca MajolieNorman FergusonPerce PearceSylvia Moberly-HollandElmer PlummerCarl FalibergGraham HeidWilliam MartinNorman WrightOtto EnglanderJoe GrantLeo ThieleLee BlairBill PeetCampbell GrantAlbert HeathRobert SternerPhil DikeErdman PennerArthur HeinemannJoseph SaboJohn Fraser McLeish
Howard Hawks,ClassicsComedyDrama,PG,98%,92 minutes,Columbia Pictures,"Jan 18, 1940",His Girl Friday,https://www.rottentomatoes.com/m/his_girl_friday,Charles Lederer
John Ford,ClassicsDramaKids & Family,NR,90%,118 minutes,Twentieth Century Fox Home Entertainment,"Jan 1, 1941",How Green Was My Valley,https://www.rottentomatoes.com/m/how_green_was_my_valley,Richard LlewellynPhilip Dunne
David HandSamuel ArmstrongBill RobertsJames AlgarGraham HeidPaul SatterfieldDavid D. HandNorman WrightPerce Pearce,AnimationClassicsKids & FamilyScience Fiction & Fantasy,G,90%,69 minutes,RKO Radio Pictures,"Aug 21, 1942",Bambi,https://www.rottentomatoes.com/m/bambi,Larry MoreyPerce PearceChuck CouchRalph WrightMelvin Shaw
Ernst Lubitsch,ClassicsComedyDrama,PG (adult situations),98%,90 minutes,United Artists,"Mar 6, 1942",To Be or Not to Be,https://www.rottentomatoes.com/m/to_be_or_not_to_be,Edwin Justus Mayer
Billy Wilder,Drama,NR,96%,107 minutes,Paramount Pictures,"Sep 6, 1944",Double Indemnity,https://www.rottentomatoes.com/m/double_indemnity,Raymond ChandlerBilly Wilder
Michael Curtiz,ClassicsDramaMystery & Suspense,NR,85%,113 minutes,MGM Home Entertainment,"Oct 20, 1945",Mildred Pierce,https://www.rottentomatoes.com/m/mildred_pierce,Ranald MacDougall
William Wyler,ClassicsDramaRomance,NR,96%,170 minutes,RKO Radio Pictures,"Nov 21, 1946",The Best Years of Our Lives,https://www.rottentomatoes.com/m/best_years_of_our_lives,Robert E. Sherwood
George Seaton,ClassicsDramaKids & FamilyScience Fiction & FantasySpecial InterestRomance,NR,96%,96 minutes,20th Century Fox,"Jan 1, 1947",Miracle on 34th Street,https://www.rottentomatoes.com/m/miracle_on_34th_street,George Seaton
Orson Welles,ClassicsDramaMystery & Suspense,NR,86%,87 minutes,Columbia Pictures Corporation,"Jun 9, 1948",The Lady From Shanghai,https://www.rottentomatoes.com/m/the_lady_from_shanghai,Orson Welles
Alfred Hitchcock,ClassicsDramaMystery & Suspense,PG,93%,80 minutes,Warner Bros. Pictures,"Aug 23, 1948",Rope,https://www.rottentomatoes.com/m/rope,Arthur LaurentsHume CronynBen Hecht
Vittorio De Sica,Drama,NR,98%,90 minutes,ENIC,"Dec 13, 1949",Bicycle Thieves (Ladri di biciclette),https://www.rottentomatoes.com/m/bicycle_thieves,Cesare ZavattiniVittorio De SicaOreste BiancoliAdolfo FranciO. BiancoliSuso Cecchi d'Amico
Billy Wilder,ClassicsDrama,G,98%,111 minutes,Paramount Pictures,"Aug 4, 1950",Sunset Boulevard,https://www.rottentomatoes.com/m/sunset_boulevard,"D.M. Marshman, Jr.Charles BrackettBilly Wilder"
John Huston,Action & AdventureClassicsDramaRomance,"PG (for thematic elements, some violence and smoking)",98%,105 minutes,Twentieth Century Fox Home Entertainment,"Dec 23, 1951",The African Queen,https://www.rottentomatoes.com/m/the_african_queen_1951,John HustonJames AgeePeter Viertel
Vincente Minnelli,ClassicsMusical & Performing ArtsRomance,G,95%,115 minutes,MGM,"Oct 4, 1951",An American in Paris,https://www.rottentomatoes.com/m/american_in_paris,Alan Jay Lerner
Alfred Hitchcock,Mystery & Suspense,PG (not rated),98%,101 minutes,Warner Home Video,"Jul 3, 1951",Strangers on a Train,https://www.rottentomatoes.com/m/strangers_on_a_train,Raymond ChandlerCzenzi OrmondeWhitfield Cook
Jacques Tourneur,DramaHorrorRomance,R,93%,73 minutes,RKO Pictures,"Dec 6, 1942",Cat People,https://www.rottentomatoes.com/m/1003757_cat_people,DeWitt Bodeen
Akira Kurosawa,Art House & InternationalClassicsDramaMystery & Suspense,NR,98%,83 minutes,Janus Films,"Dec 26, 1951",Rashômon,https://www.rottentomatoes.com/m/rashomon,Akira KurosawaShinobu Hashimoto
John Huston,Action & AdventureClassicsDramaWestern,NR,100%,126 minutes,WARNER BROTHERS PICTURES,"Jan 7, 1948",The Treasure of the Sierra Madre,https://www.rottentomatoes.com/m/treasure_of_the_sierra_madre,John Huston
Frank Capra,ClassicsDramaKids & FamilyScience Fiction & Fantasy,"PG (for thematic elements, smoking and some violence)",93%,135 minutes,Liberty Films,"Dec 25, 1946",It's a Wonderful Life,https://www.rottentomatoes.com/m/its_a_wonderful_life,Frank CapraFrances GoodrichAlbert Hackett
Jean Cocteau,DramaScience Fiction & FantasyRomance,NR,95%,120 minutes,Lopert Pictures,"Jan 1, 1946",Beauty and The Beast (La Belle et la bête),https://www.rottentomatoes.com/m/1001902_beauty_and_the_beast,Jean Cocteau
Roberto Rossellini,Art House & InternationalDrama,NR,100%,103 minutes,Criterion Collection,"Feb 25, 1946",Open City,https://www.rottentomatoes.com/m/open_city,Sergio AmideiFederico FelliniRoberto Rossellini
Michael PowellEmeric Pressburger,ClassicsDramaMusical & Performing ArtsRomance,R,96%,136 minutes,Eagle-Lion Films,"Sep 6, 1948",The Red Shoes,https://www.rottentomatoes.com/m/1017346_red_shoes,Michael PowellEmeric PressburgerKeith Winter
Robert Wise,ClassicsDramaScience Fiction & Fantasy,G,94%,92 minutes,20th Century Fox,"Jan 1, 1951",The Day the Earth Stood Still,https://www.rottentomatoes.com/m/1005371_day_the_earth_stood_still,Edmund H. North
Sam ArmstrongJack KinneyNorman FergusonWilfred JacksonBill RobertsBen SharpsteenSamuel Armstrong,AnimationKids & FamilyScience Fiction & Fantasy,G,98%,63 minutes,Walt Disney Productions,"Oct 23, 1941",Dumbo,https://www.rottentomatoes.com/m/dumbo,Joe GrantDick HuemerJoe RinaldiWebb SmithOtto EnglanderAurelius BattagliaBill Peet
John Ford,ClassicsDrama,G,100%,129 minutes,20th Century Fox Film Corporation,"Mar 15, 1940",The Grapes of Wrath,https://www.rottentomatoes.com/m/grapes_of_wrath,Nunnally Johnson
Hamilton LuskeBen SharpsteenWalt DisneyWilfred JacksonJack KinneyT. HeeBill RobertsNorman Ferguson,AnimationKids & FamilyMusical & Performing ArtsScience Fiction & Fantasy,G,100%,88 minutes,RKO,"Feb 7, 1940",Pinocchio,https://www.rottentomatoes.com/m/pinocchio_1940,Aurelius BattagliaTed SearsWebb SmithErdman PennerOtto EnglanderJoseph SaboWilliam Cottrell
Elia Kazan,ClassicsDrama,PG,98%,122 minutes,Warner Bros. Pictures,"Sep 19, 1951",A Streetcar Named Desire,https://www.rottentomatoes.com/m/1020333_streetcar_named_desire,Tennessee WilliamsOscar Saul
Joseph L. Mankiewicz,ClassicsDrama,PG,100%,138 minutes,20th Century Fox,"Jan 1, 1950",All About Eve,https://www.rottentomatoes.com/m/1000626_all_about_eve,Joseph L. Mankiewicz
George Cukor,ClassicsComedyRomance,NR,100%,112 minutes,MGM,"Dec 1, 1940",The Philadelphia Story,https://www.rottentomatoes.com/m/philadelphia_story,Donald Ogden StewartWaldo Salt
Howard Hawks,ClassicsDramaMystery & Suspense,PG,97%,116 minutes,Warner Bros. Pictures,"Aug 31, 1946",The Big Sleep,https://www.rottentomatoes.com/m/1002352_big_sleep,William FaulknerLeigh BrackettJules Furthman
David Lean,ClassicsDramaRomance,NR,90%,86 minutes,Universal Pictures,"Nov 26, 1945",Brief Encounter,https://www.rottentomatoes.com/m/1003094_brief_encounter,David LeanAnthony Havelock-AllanRonald NeameNoel CowardCoward Lean
Otto Preminger,ClassicsMystery & Suspense,NR,100%,90 minutes,20th Century Fox,"Oct 11, 1944",Laura,https://www.rottentomatoes.com/m/1012007_laura,Jay DratlerSamuel HoffensteinElizabeth ReinhardtRing Lardner Jr.Jerry Cady
Michael Curtiz,ClassicsDramaRomance,PG,97%,102 minutes,Warner Bros. Pictures,"Nov 26, 1942",Casablanca,https://www.rottentomatoes.com/m/1003707_casablanca,Julius J. EpsteinPhilip G. EpsteinHoward Koch
John Huston,DramaMystery & Suspense,PG,100%,101 minutes,Warner Bros.,"Oct 18, 1941",The Maltese Falcon,https://www.rottentomatoes.com/m/1013139_maltese_falcon,John Huston
Alfred Hitchcock,ClassicsDramaMystery & Suspense,NR,100%,130 minutes,United Artists,"Mar 27, 1940",Rebecca,https://www.rottentomatoes.com/m/1017293_rebecca,Joan HarrisonMichael HoganPhilip MacDonaldRobert E. Sherwood
John Ford,ClassicsComedyDramaRomance,G,90%,129 minutes,Republic Pictures,"Aug 14, 1952",The Quiet Man,https://www.rottentomatoes.com/m/quiet_man,Frank S. NugentRichard Llewellyn
Howard Hawks,ClassicsComedyMusical & Performing ArtsRomance,G,98%,91 minutes,20th Century Fox,"Jul 15, 1953",Gentlemen Prefer Blondes,https://www.rottentomatoes.com/m/gentlemen_prefer_blondes,Charles Lederer
William Wyler,ClassicsComedyDramaRomance,NR,98%,118 minutes,Paramount Pictures,"Sep 2, 1953",Roman Holiday,https://www.rottentomatoes.com/m/roman_holiday,John DightonIan McLellan HunterDalton Trumbo
Alfred Hitchcock,ClassicsMystery & Suspense,PG,88%,106 minutes,Warner Bros. Pictures,"May 29, 1954",Dial M for Murder,https://www.rottentomatoes.com/m/dial_m_for_murder,Frederick Knott
Nicholas Ray,Action & AdventureClassicsDramaMusical & Performing ArtsWestern,PG,93%,110 minutes,Republic,"May 26, 1954",Johnny Guitar,https://www.rottentomatoes.com/m/johnny_guitar,Philip Yordan
